if. postaje;Tip podatka;Èas;Vrednost;Ekstrem;Std. opomba;Opomba;Preneseno;Ime upor.;Èas sprem.
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 13:00:00;211.2;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 14:00:00;199.7;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 15:00:00;197.5;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 16:00:00;209;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 17:00:00;230.4;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 18:00:00;252.8;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 19:00:00;271.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 20:00:00;280.7;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 21:00:00;277.6;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 22:00:00;261.9;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);07.09.2014 23:00:00;237.1;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 00:00:00;210.2;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 01:00:00;188.2;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 02:00:00;173.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 03:00:00;170.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 04:00:00;183.1;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 05:00:00;208.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 06:00:00;235.5;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 07:00:00;258.4;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 08:00:00;279.4;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 09:00:00;288.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 10:00:00;283.5;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 11:00:00;265;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 12:00:00;240.6;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 13:00:00;212.3;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 14:00:00;193.2;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 15:00:00;186.2;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 16:00:00;192.5;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 17:00:00;209.4;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 18:00:00;236.7;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 19:00:00;262.1;;;;;;
9350;vodostaj morja-avt.-tlaèna/temp. sonda (OTT)-urni-trenutne vrednosti (cm);08.09.2014 20:00:00;280.9;;;;;;
