cas	vrednost	ekstrem
25.01.2015 12:30:00	248.5	VV2
25.01.2015 18:50:00	186.4	MIN
26.01.2015 01:40:00	259.2	MAX
26.01.2015 08:20:00	207.8	NV2
26.01.2015 13:50:00	231.9	VV2
26.01.2015 19:30:00	193.4	MIN
27.01.2015 02:30:00	259.5	MAX
27.01.2015 08:40:00	209.8	NV2
27.01.2015 14:30:00	220.2	VV2
27.01.2015 18:50:00	204.1	MIN
28.01.2015 02:20:00	246.7	MAX
28.01.2015 10:50:00	193.6	MIN
28.01.2015 17:50:00	232.4	VV2
28.01.2015 21:10:00	221.5	NV2
29.01.2015 04:40:00	260.8	MAX
29.01.2015 13:00:00	204.8	MIN
29.01.2015 19:00:00	259.6	VV2
30.01.2015 01:30:00	250	NV2
30.01.2015 08:00:00	317.9	MAX
30.01.2015 13:30:00	219.2	MIN
30.01.2015 19:10:00	263	VV2
31.01.2015 00:10:00	210	MIN
31.01.2015 07:40:00	293.9	MAX
31.01.2015 15:20:00	231.6	NV2
31.01.2015 20:20:00	264.3	VV2
01.03.2015 01:00:00	217.4	NV2
01.03.2015 06:40:00	242	VV2
01.03.2015 13:50:00	181	MIN
01.03.2015 20:10:00	258.6	MAX
02.03.2015 01:50:00	206.8	NV2
02.03.2015 08:00:00	257	VV2
02.03.2015 14:20:00	191.9	MIN
02.03.2015 20:10:00	277	MAX
03.03.2015 03:00:00	189.2	NV2
03.03.2015 08:20:00	244	VV2
03.03.2015 14:30:00	168.9	MIN
03.03.2015 20:30:00	265	MAX
04.03.2015 02:20:00	179.3	NV2
04.03.2015 09:00:00	260.6	MAX
04.03.2015 15:10:00	178.3	MIN
04.03.2015 20:50:00	245.8	VV2
05.03.2015 03:20:00	157.6	MIN
05.03.2015 09:20:00	245.9	VV2
05.03.2015 16:30:00	166.5	NV2
05.03.2015 22:20:00	265.3	MAX
06.03.2015 04:30:00	169.1	NV2
06.03.2015 08:50:00	242.7	VV2
06.03.2015 16:30:00	145	MIN
06.03.2015 22:40:00	260.4	MAX
07.03.2015 03:50:00	160.7	NV2
07.03.2015 10:30:00	225.3	VV2
07.03.2015 15:50:00	147	MIN
07.03.2015 22:20:00	257.5	MAX
08.03.2015 05:00:00	152.4	MIN
08.03.2015 10:40:00	229.3	VV2
08.03.2015 16:10:00	169.4	NV2
08.03.2015 22:40:00	262.7	MAX
09.03.2015 05:10:00	168.1	MIN
09.03.2015 11:30:00	236.8	VV2
09.03.2015 17:00:00	181.4	NV2
09.03.2015 23:00:00	246.3	MAX
10.03.2015 05:30:00	170.7	MIN
10.03.2015 12:10:00	241.5	VV2
10.03.2015 17:20:00	187.9	NV2
10.03.2015 23:50:00	244.7	MAX
11.03.2015 06:00:00	179.6	MIN
11.03.2015 12:10:00	234.8	VV2
11.03.2015 18:10:00	191.5	NV2
11.03.2015 23:50:00	244.8	MAX
12.03.2015 07:00:00	179.1	MIN
12.03.2015 14:10:00	210.8	MAX
12.03.2015 16:30:00	197.3	NV2
13.03.2015 01:00:00	238.1	MAX
13.03.2015 08:50:00	189.4	MIN
14.03.2015 03:30:00	231	VV2
14.03.2015 10:10:00	189.9	MIN
14.03.2015 18:30:00	231	MAX
14.03.2015 23:40:00	212.9	NV2
15.03.2015 04:40:00	231	VV2
15.03.2015 11:10:00	178.9	MIN
15.03.2015 18:30:00	235.2	MAX
16.03.2015 01:10:00	201	NV2
16.03.2015 05:50:00	231.8	VV2
16.03.2015 13:10:00	168	MIN
16.03.2015 19:30:00	242.2	MAX
17.03.2015 01:30:00	170.4	NV2
17.03.2015 07:10:00	242.4	VV2
17.03.2015 14:00:00	156.1	MIN
17.03.2015 19:50:00	243.6	MAX
18.03.2015 01:50:00	167.2	NV2
18.03.2015 07:50:00	251.1	MAX
18.03.2015 14:20:00	148.4	MIN
18.03.2015 21:00:00	246.6	VV2
19.03.2015 02:50:00	166.3	NV2
19.03.2015 08:30:00	254.9	VV2
19.03.2015 15:00:00	139.7	MIN
19.03.2015 21:20:00	257	MAX
20.03.2015 03:30:00	158.1	NV2
20.03.2015 09:20:00	251.7	VV2
20.03.2015 15:20:00	137.4	MIN
20.03.2015 21:30:00	262.8	MAX
21.03.2015 04:10:00	151.8	MIN
21.03.2015 10:00:00	248.9	VV2
21.03.2015 15:40:00	160.7	NV2
21.03.2015 22:30:00	271.6	MAX
22.03.2015 05:10:00	160.9	MIN
22.03.2015 10:50:00	249.2	VV2
22.03.2015 16:30:00	175.8	NV2
22.03.2015 23:00:00	272.5	MAX
23.03.2015 05:20:00	157.7	MIN
